PlayerGagged,,,"Don't waste your time talking, I cannot understand.",,,
222,223,Take your time Miss.,,SendMistressToPrivateRoom(1),,
222,223,You're welcome any time.,,SendMistressToPrivateRoom(2),,
230,0,"Yes, I want to break my trial.","(She announces the end of your trial period and makes it official.)  You're free girl, enjoy the club.",BreakTrialOnline(),,
230,0,Let me think some more.,"Think girl, this is a serious decision.",,,
300,,What are club slaves?,Submissive girls can take slavery contracts with the club and get paid for it.  They become preys for anyone to play with while under that contract.,,,
300,,What are the slave contract terms?,The contract lasts for one hour and the girl gets paid 80$ at the end of it.  A special collar will be locked for the contract duration.,,,
300,,There's a special collar?,"Regular slaves wear the red collar, which means they are already taken.  Club slaves wear the green collar, which means they are open for anyone.",,,
300,,What must club slaves do?,Club slaves can still enjoy the club but must be naked at all times.  They can be approached by any club member to be restrained or played with.,,,
300,,What if the sub is already owned?,"As long as the owner doesn't disapprove, a regular slave can take a club slave contract for one hour.  We will swap collars and lock the slave collar again in the end.",,,
300,,Can I become a club slave?,"No, you're not submissive enough.",,CannotBeClubSlaveDominant(),
300,,Can I become a club slave?,"(She checks your locks.)  No, your Mistress has put an owner lock on you, get released first.",,CannotBeClubSlaveOwnerLock(),
300,310,Can I become a club slave?,"You could, are you sure you understand the terms and commitments?  Do you accept the contract?",,CanBeClubSlave(),
300,0,Let's talk about something else.,"Alright girl, but don't waste my time.",,,
310,320,I accept the terms.  I want to be a club slave.,"Very good, it's time to strip girl.",,!Player.IsNaked(),
310,330,I accept the terms.  I want to be a club slave.,"Since you're already naked, it's time for your collar slave.",,Player.IsNaked(),
310,300,Let's review the rules first.,"Fine, what troubles you?",,,
320,330,Yes Miss.  (Strip.),(You strip down as she smirks.)  It's time for your collar slave.,PlayerStrip(),,
320,330,My pleasure.  (Strip.),(You strip down as she smirks.)  It's time for your collar slave.,PlayerStrip(),,
330,340,Very well.  (Present your neck.),(She removes your regular collar and straps a club slave collar around your neck.  She locks it securely with a strong padlock.)  Good girl.,ClubSlaveCollar(-5),Player.IsOwned(),
330,340,Very well.  (Present your neck.),(She straps a club slave collar around your neck.  She locks it securely with a strong padlock.)  Good girl.,ClubSlaveCollar(-5),!Player.IsOwned(),
330,340,Please don't strap it too tight.,(She removes your regular collar and straps a club slave collar around your neck.  She locks it securely with a strong padlock.)  Don't complain.,ClubSlaveCollar(-3),Player.IsOwned(),
330,340,Please don't strap it too tight.,(She straps a club slave collar around your neck.  She locks it securely with a strong padlock.)  Don't complain.,ClubSlaveCollar(-3),!Player.IsOwned(),
330,340,It's an honor to serve the club.,"(She removes your regular collar and straps a club slave collar around your neck.  She locks it securely with a strong padlock.)  Slave, make us proud.",ClubSlaveCollar(-7),Player.IsOwned(),
330,340,It's an honor to serve the club.,"(She straps a club slave collar around your neck.  She locks it securely with a strong padlock.)  Slave, make us proud.",ClubSlaveCollar(-7),!Player.IsOwned(),
340,350,Am I ready Miss?,You're ready slave.  Go in the club and make sure everyone see's you.  Make our customers and members happy.,,,
340,350,I should wander in the club?,Absolutely.  Go in the club and make sure everyone see's you.  Make our customers and members happy.,,,
340,350,(Stay silent.),Get going girl!  Go in the club and make sure everyone see's you.  Make our customers and members happy.,,,
350,,,"Don't stay here girl, you're on duty.  Go in the club and make sure everyone see's you.  Make our customers and members happy.",,"DialogLogQuery(""ClubSlave"", ""Management"")",
350,,,Your slave time is done girl.  Are you here to complete your contract?,,"!DialogLogQuery(""ClubSlave"", ""Management"")",
350,360,"Miss, I wish to complete my contract.","Very good, did you enjoy your experience?",,"!DialogLogQuery(""ClubSlave"", ""Management"")",
350,,(Bow your head and leave her.),,DialogLeave(),,
360,0,It was very kinky Miss.,"(She swaps your collars and laughs.)  Very good, here's your money slave.  (She gives you 80$.)",FinishClubSlave(0),Player.IsOwned(),
360,0,It was very kinky Miss.,"(She removes your collar and laughs.)  Very good, here's your money slave.  (She gives you 80$.)",FinishClubSlave(0),!Player.IsOwned(),
360,0,I loved it.  I hope to do it again.,(She swaps your collars and grins.)  You can come back anytime.  Here's your money slave.  (She gives you 80$.),FinishClubSlave(-3),Player.IsOwned(),
360,0,I loved it.  I hope to do it again.,(She removes your collar and grins.)  You can come back anytime.  Here's your money slave.  (She gives you 80$.),FinishClubSlave(-3),!Player.IsOwned(),
360,0,Maybe I'm not fit to be a public slave.,(She swaps your collars and nods.)  Going public isn't for everyone.  Here's your money girl.  (She gives you 80$.),FinishClubSlave(2),Player.IsOwned(),
360,0,Maybe I'm not fit to be a public slave.,(She removes your collar and nods.)  Going public isn't for everyone.  Here's your money girl.  (She gives you 80$.),FinishClubSlave(2),!Player.IsOwned(),
400,,What are club Mistresses?,We Mistresses are the final arbiters in the club.  We make the rules and enforce them.  It's hard work but it's rewarding.,,,
400,,What are the requirements?,"To apply to be a club Mistress, someone must be a club member for at least one month and be known to be really dominant.",,,
400,,Do they get paid?,Absolutely.  The salary is 100$ per week and they will receive the official Mistress outfit that I'm wearing right now.,,,
400,,Do they have privileges?,They have a special privilege that comes with responsibilities.  Every Mistress gets unique club padlocks and keys.,,,
400,,What if a Mistress turns submissive?,She will be kicked out of the group and her Mistress clothes will be confiscated.,,,
400,410,Can I become a club Mistress?,You've made quite a reputation for yourself in the club.  Are you serious about becoming a Mistress?,,CanBeClubMistress(),
400,,Can I become a club Mistress?,We've noticed your good reputation but it's not enough.  Work harder to become an elite Dominant.,,CannotBeClubMistress(),
400,,Can I become a club Mistress?,You?  Don't make me laugh.  Being a Mistress is for real Dominants only.,,CannotBeClubMistressLaugh(),
400,,Can I become a club Mistress?,"Girl, you're a new member.  You must be a club member for at least one month before you can apply.",,CannotBeClubMistressTime(),
400,0,I'm here to collect my salary.,(She checks her book and gives you 100$.)  Here you go Mistress DialogPlayerName.  Come again in seven days for your next pay.,MistressPay(),MistressCanBePaid(),
400,0,I'm here to collect my salary.,(She checks her book and frowns.)  You're too early Mistress DialogPlayerName.  It takes a full week between each payment.,,MistressCannotBePaid(),
400,0,That's all I wanted to know.,"Good.  Now, get to the point or get going.",,,
410,420,"Yes, I'm serious.","Excellent!  First, we need to prepare a perfect outfit for you.  Do you prefer black, red or silver?",,,
410,400,Do you think I can do it?,"Not with this attitude.  You'll know when you're ready, and it's not now.","DialogChangeReputation(""Dominant"", -2)",,
410,400,Let me think about it.,"Sure, take your time.",,,
420,430,Black.,Good.  (She snaps her fingers and a submissive girl comes to dress you up.),"GetMistressOutfit(""#333333"")",,
420,430,Red.,Good.  (She snaps her fingers and a submissive girl comes to dress you up.),"GetMistressOutfit(""#AA4444"")",,
420,430,Silver.,Good.  (She snaps her fingers and a submissive girl comes to dress you up.),"GetMistressOutfit(""#AAAAAA"")",,
430,440,"This is perfect, I love it.",(She smiles.)  It's time for your inauguration party Mistress DialogPlayerName.,,,
430,440,Good girl.  (Spank the dressing girl.),(She grins.)  It's time for your inauguration party Mistress DialogPlayerName.,,,
430,440,So much power!,(She nods.)  It's time for your inauguration party Mistress DialogPlayerName.,,,
440,,Excellent!  (Do the inauguration party.),,PlayerMistressCutscene(),,
440,,This should be fun.  (Do the party.),,PlayerMistressCutscene(),,
500,510,What does it mean?,It means that you're not Dominant enough and you're getting kicked out of the Mistresses circle.,,,
500,510,You're kicking me out?,"Correct, you're not Dominant enough, so you're getting kicked out of the Mistresses circle.",,,
500,510,(Stay silent.),"Girl, you've really lost your Dominant touch and you're getting kicked out of the Mistresses circle.","DialogChangeReputation(""Dominant"", -3)",,
510,520,That's unfair!,"Don't make it harder than it should be, you've brought this on yourself.  Now get naked for your shaming.",,,
510,520,I understand.,"Very good, you did bring this on yourself.  Now get naked for your shaming.","DialogChangeReputation(""Dominant"", -2)",,
520,,My shaming?,"Yes, your shaming period will last for an hour.  You will have to wander the club naked, so everyone knows you're not a Mistress anymore.",DialogRemove(),,
520,530,(Grumble and get naked.),You're not allowed to wear clothes for the next hour.  Now surrender your Mistress outfit and items.,PlayerStrip(),,
520,530,(Stay silent and get naked.),You're not allowed to wear clothes for the next hour.  Now surrender your Mistress outfit and items.,PlayerStrip(),,
530,0,"Fine, take it.  (Give your Mistress items.)","(She takes your Mistress items and sighs.)  Such a pity, you had so much potential.  Carry on girl.",MistressKicked(),,
530,0,That sucks!  (Give your Mistress items.),"(She takes your Mistress items and sighs.)  Such a pity, you had so much potential.  Carry on girl.",MistressKicked(),,
600,,What exactly does it mean to be a lover?,The lover's relationship is based on mutual trust and caring.  The details may differ from one relationship to another.,,,
600,,Is there a fee to host a wedding?,"There's a 100$ fee required from both partners.  But before any wedding, you'll have to spend time with your lover.",,,
600,,Can I ask anyone to be my lover?,"Yes, but you can only have up to five official lovers at a time.  And as long as that lucky one",,,
600,610,I want to break up with one of my lovers.,Which one are you talking about ?,,,
600,0,Let's talk about something else.,As long as you don't ask anything idiotic.,,,
610,620,The first.,"Breaking up while dating is alright, it happens all the time.  But are you totally sure?  Have you really thought about it?",,CanBreakDatingLoverOnline(0),
610,630,The first.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverOnline(0),
610,,The first.,No girl.  Try to fix things up with her first.  I can only officialize a divorce if you've been wed for a least a week.,,CannotBreakUpLoverOnline(0),
610,630,The first.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverNPC(0),
610,,The first.,"I know your lover, she's probably in your room right now.  Go talk with her, this is none of my business.",,CannotBreakUpLoverNPC(0),
610,621,The second.,"Breaking up while dating is alright, it happens all the time.  But are you totally sure?  Have you really thought about it?",,CanBreakDatingLoverOnline(1),
610,631,The second.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverOnline(1),
610,,The second.,No girl.  Try to fix things up with her first.  I can only officialize a divorce if you've been wed for a least a week.,,CannotBreakUpLoverOnline(1),
610,631,The second.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverNPC(1),
610,,The second.,"I know your lover, she's probably in your room right now.  Go talk with her, this is none of my business.",,CannotBreakUpLoverNPC(1),
610,622,The third.,"Breaking up while dating is alright, it happens all the time.  But are you totally sure?  Have you really thought about it?",,CanBreakDatingLoverOnline(2),
610,632,The third.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverOnline(2),
610,,The third.,No girl.  Try to fix things up with her first.  I can only officialize a divorce if you've been wed for a least a week.,,CannotBreakUpLoverOnline(2),
610,632,The third.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverNPC(2),
610,,The third.,"I know your lover, she's probably in your room right now.  Go talk with her, this is none of my business.",,CannotBreakUpLoverNPC(2),
610,623,The fourth.,"Breaking up while dating is alright, it happens all the time.  But are you totally sure?  Have you really thought about it?",,CanBreakDatingLoverOnline(3),
610,633,The fourth.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverOnline(3),
610,,The fourth.,No girl.  Try to fix things up with her first.  I can only officialize a divorce if you've been wed for a least a week.,,CannotBreakUpLoverOnline(3),
610,633,The fourth.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverNPC(3),
610,,The fourth.,"I know your lover, she's probably in your room right now.  Go talk with her, this is none of my business.",,CannotBreakUpLoverNPC(3),
610,624,The fifth.,"Breaking up while dating is alright, it happens all the time.  But are you totally sure?  Have you really thought about it?",,CanBreakDatingLoverOnline(4),
610,634,The fifth.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverOnline(4),
610,,The fifth.,No girl.  Try to fix things up with her first.  I can only officialize a divorce if you've been wed for a least a week.,,CannotBreakUpLoverOnline(4),
610,634,The fifth.,"I'm sorry to hear that.  Breaking a lovers bond is a big decision.  Tell me your story, why do you want to end your relationship?",,CanBreakUpLoverNPC(4),
610,,The fifth.,"I know your lover, she's probably in your room right now.  Go talk with her, this is none of my business.",,CannotBreakUpLoverNPC(4),
610,0,Let's talk about something else.,As long as you don't ask anything idiotic.,,,
620,625,"Yes, I want to break up.","(She announces the end of your relationship and makes it official.)  You're free to go girl, enjoy the club.",BreakLover(0),,
620,0,Let me think some more.,"Think carefully girl, this is a serious decision.",,,
621,625,"Yes, I want to break up.","(She announces the end of your relationship and makes it official.)  You're free to go girl, enjoy the club.",BreakLover(1),,
621,0,Let me think some more.,"Think carefully girl, this is a serious decision.",,,
622,625,"Yes, I want to break up.","(She announces the end of your relationship and makes it official.)  You're free to go girl, enjoy the club.",BreakLover(2),,
622,0,Let me think some more.,"Think carefully girl, this is a serious decision.",,,
623,625,"Yes, I want to break up.","(She announces the end of your relationship and makes it official.)  You're free to go girl, enjoy the club.",BreakLover(3),,
623,0,Let me think some more.,"Think carefully girl, this is a serious decision.",,,
624,625,"Yes, I want to break up.","(She announces the end of your relationship and makes it official.)  You're free to go girl, enjoy the club.",BreakLover(4),,
624,0,Let me think some more.,"Think carefully girl, this is a serious decision.",,,
625,0,Thanks a lot.,My pleasure.  Is there anything else you need?,,,
625,0,(Remain silent.),Is there anything else you need?,,,
625,0,(Nod happily.),"Good, is there anything else you need?",,,
630,620,She doesn't want to join the club.,"It's a shame, but I understand. Let me ask again, are you really sure about this?",,LoverFromBondageCollege(),
630,620,"She is a student, she's not mature enough.","That makes sense. Let me ask again, are you really sure about this?",,LoverFromBondageCollege(),
630,620,She disappeared.,"Poor girl, I'm sure you'll find another lover someday. Let me ask again, are you really sure about this?",,,
630,620,She abused my trust.,"Poor girl, Some people do not know what they are doing. Let me ask again, are you really sure about this?",,,
630,620,I've found a better lover.,"(She shakes her head) I only hope that you've discussed this with her before coming here... Let me ask again, are you really sure about this?",,,
630,620,My lover doesn't want me anymore.,"Poor girl, I'm sure you'll find a good lover someday. Let me ask again, are you really sure about this?",,,
630,0,I guess I don't have any good reason.,Then you'd better work things out with her. Take some time to discuss.,,,
631,621,"She is a student, she's not mature enough.","That makes sense. Let me ask again, are you really sure about this?",,LoverFromBondageCollege(),
631,621,She disappeared.,"Poor girl, I'm sure you'll find another lover someday. Let me ask again, are you really sure about this?",,,
631,621,She abused my trust.,"Poor girl, Some people do not know what they are doing. Let me ask again, are you really sure about this?",,,
631,621,I've found a better lover.,"(She shakes her head) I only hope that you've discussed this with her before coming here... Let me ask again, are you really sure about this?",,,
631,621,My lover doesn't want me anymore.,"Poor girl, I'm sure you'll find a good lover someday. Let me ask again, are you really sure about this?",,,
631,0,I guess I don't have any good reason.,Then you'd better work things out with her. Take some time to discuss.,,,
632,622,"She is a student, she's not mature enough.","That makes sense. Let me ask again, are you really sure about this?",,LoverFromBondageCollege(),
632,622,She disappeared.,"Poor girl, I'm sure you'll find another lover someday. Let me ask again, are you really sure about this?",,,
632,622,She abused my trust.,"Poor girl, Some people do not know what they are doing. Let me ask again, are you really sure about this?",,,
632,622,I've found a better lover.,"(She shakes her head) I only hope that you've discussed this with her before coming here... Let me ask again, are you really sure about this?",,,
632,622,My lover doesn't want me anymore.,"Poor girl, I'm sure you'll find a good lover someday. Let me ask again, are you really sure about this?",,,
632,0,I guess I don't have any good reason.,Then you'd better work things out with her. Take some time to discuss.,,,
633,623,"She is a student, she's not mature enough.","That makes sense. Let me ask again, are you really sure about this?",,LoverFromBondageCollege(),
633,623,She disappeared.,"Poor girl, I'm sure you'll find another lover someday. Let me ask again, are you really sure about this?",,,
633,623,She abused my trust.,"Poor girl, Some people do not know what they are doing. Let me ask again, are you really sure about this?",,,
633,623,I've found a better lover.,"(She shakes her head) I only hope that you've discussed this with her before coming here... Let me ask again, are you really sure about this?",,,
633,623,My lover doesn't want me anymore.,"Poor girl, I'm sure you'll find a good lover someday. Let me ask again, are you really sure about this?",,,
633,0,I guess I don't have any good reason.,Then you'd better work things out with her. Take some time to discuss.,,,
634,624,"She is a student, she's not mature enough.","That makes sense. Let me ask again, are you really sure about this?",,LoverFromBondageCollege(),
634,624,She disappeared.,"Poor girl, I'm sure you'll find another lover someday. Let me ask again, are you really sure about this?",,,
634,624,She abused my trust.,"Poor girl, Some people do not know what they are doing. Let me ask again, are you really sure about this?",,,
634,624,I've found a better lover.,"(She shakes her head) I only hope that you've discussed this with her before coming here... Let me ask again, are you really sure about this?",,,
634,624,My lover doesn't want me anymore.,"Poor girl, I'm sure you'll find a good lover someday. Let me ask again, are you really sure about this?",,,
634,0,I guess I don't have any good reason.,Then you'd better work things out with her. Take some time to discuss.,,,
